Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2006-06-30 23:57:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Friday,SOUTHERN,"ARREST, BOOKED",FALMOUTH ST / SHIPLEY ST,-122.40388756786501,37.7790049610638
2006-06-30 23:50:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,PARK,NOT PROSECUTED,DIVISADERO ST / HAYES ST,-122.437799703468,37.7749912944366
2006-06-30 23:45:00,ROBBERY,"ROBBERY, BODILY FORCE",Friday,SOUTHERN,UNFOUNDED,7TH ST / STEVENSON ST,-122.411935615745,37.780006442029794
2006-06-30 23:31:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
2006-06-30 23:31:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,CENTRAL,"ARREST, CITED",JONES ST / BEACH ST,-122.417265053145,37.807073051215
2006-06-30 23:31:00,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
2006-06-30 23:31:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
2006-06-30 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TENDERLOIN,NONE,300 Block of ELLIS ST,-122.411965795229,37.78491418595621
2006-06-30 23:30:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,SOUTHERN,NONE,SHIPLEY ST / 4TH ST,-122.40061739890301,37.7815876234701
2006-06-30 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,SHIPLEY ST / 4TH ST,-122.40061739890301,37.7815876234701
2006-06-30 23:30:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Friday,MISSION,NONE,MISSION ST / 22ND ST,-122.418748733523,37.755437187509706
2006-06-30 23:29:00,MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,LOCATED,0 Block of NANTUCKET AV,-122.441361768718,37.7282735423755
2006-06-30 23:23:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,NORTHERN,"ARREST, CITED",300 Block of OAK ST,-122.425018205965,37.774655409686
2006-06-30 23:20:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,PSYCHOPATHIC CASE,900 Block of CALIFORNIA ST,-122.409999361883,37.79188233556
2006-06-30 23:15:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Friday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2006-06-30 23:15:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2006-06-30 23:10:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,MISSION,NONE,MISSION ST / 17TH ST,-122.419515708406,37.7634292328496
2006-06-30 23:10:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE,900 Block of MARKET ST,-122.40953666269199,37.78269112134721
2006-06-30 23:10:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,SOUTHERN,NONE,900 Block of MARKET ST,-122.40953666269199,37.78269112134721
2006-06-30 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE,100 Block of DELTA ST,-122.40810714835199,37.7161376658525
2006-06-30 23:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,2000 Block of 45TH AV,-122.50407556151501,37.7483276233936
2006-06-30 23:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-06-30 23:00:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,SOUTHERN,NONE,NEWMONTGOMERY ST / MISSION ST,-122.40050441968,37.78745132896621
2006-06-30 22:51:00,VANDALISM,"MALICIOUS MISCHIEF, BUILDING UNDER CONSTRUCTION",Friday,PARK,JUVENILE BOOKED,300 Block of LAGUNAHONDA BL,-122.458951288653,37.748109259433896
2006-06-30 22:51:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Friday,PARK,JUVENILE BOOKED,300 Block of LAGUNAHONDA BL,-122.458951288653,37.748109259433896
2006-06-30 22:51:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,PARK,JUVENILE BOOKED,300 Block of LAGUNAHONDA BL,-122.458951288653,37.748109259433896
2006-06-30 22:47:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,TARAVAL,NONE,200 Block of PLYMOUTH AV,-122.455980171894,37.7127653644812
2006-06-30 22:45:00,LARCENY/THEFT,GRAND THEFT PURSESNATCH,Friday,CENTRAL,NONE,STOCKTON ST / UNION ST,-122.40919390461599,37.800443875105294
2006-06-30 22:45:00,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Friday,TARAVAL,NONE,200 Block of BRIGHT ST,-122.463441431261,37.7152360301002
2006-06-30 22:44:00,ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE,Friday,INGLESIDE,"ARREST, BOOKED",3300 Block of MISSION ST,-122.42164447844699,37.7429970144076
2006-06-30 22:43:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,NORTHERN,"ARREST, BOOKED",MARKET ST / FELL ST,-122.41750470314501,37.7765400380328
2006-06-30 22:43:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,NORTHERN,"ARREST, BOOKED",MARKET ST / FELL ST,-122.41750470314501,37.7765400380328
2006-06-30 22:43:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,NORTHERN,"ARREST, BOOKED",MARKET ST / FELL ST,-122.41750470314501,37.7765400380328
2006-06-30 22:40:00,BURGLARY,"BURGLARY, ATTEMPTED FORCIBLE ENTRY",Friday,INGLESIDE,NONE,1100 Block of GENEVA AV,-122.436649093245,37.7143029723473
2006-06-30 22:33:00,WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of LEAVENWORTH ST,-122.41445716230899,37.7851373814889
2006-06-30 22:33:00,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of LEAVENWORTH ST,-122.41445716230899,37.7851373814889
2006-06-30 22:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, BOOKED",2200 Block of BRYANT ST,-122.409672653063,37.7580152328846
2006-06-30 22:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,NORTHERN,NONE,500 Block of FILLMORE ST,-122.430851581702,37.7744552453738
2006-06-30 22:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE,100 Block of THRIFT ST,-122.457611171012,37.7174108935444
2006-06-30 22:19:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,INGLESIDE,NONE,4200 Block of MISSION ST,-122.430951550919,37.7289192734481
2006-06-30 22:15:00,ASSAULT,BATTERY,Friday,TENDERLOIN,NONE,MARKET ST / 8TH ST,-122.414743835382,37.778719262789004
2006-06-30 22:15:00,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Friday,TENDERLOIN,NONE,MARKET ST / 8TH ST,-122.414743835382,37.778719262789004
2006-06-30 22:08:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,INGLESIDE,NONE,4200 Block of MISSION ST,-122.43058190412201,37.729596808294396
2006-06-30 22:08:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,INGLESIDE,NONE,4200 Block of MISSION ST,-122.43058190412201,37.729596808294396
2006-06-30 22:06:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,NORTHERN,NONE,1300 Block of SUTTER ST,-122.42258569695801,37.7873874125739
2006-06-30 22:04:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,MISSION,"ARREST, BOOKED",24TH ST / MISSION ST,-122.418448186101,37.7522391652625
2006-06-30 22:04:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,MISSION,"ARREST, BOOKED",24TH ST / MISSION ST,-122.418448186101,37.7522391652625
2006-06-30 22:04:00,OTHER OFFENSES,RESISTING ARREST,Friday,MISSION,"ARREST, BOOKED",24TH ST / MISSION ST,-122.418448186101,37.7522391652625
2006-06-30 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE,1100 Block of INGERSON AV,-122.39561626738701,37.7205414204952
2006-06-30 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,100 Block of VALENCIA ST,-122.422375026857,37.770718896580796
2006-06-30 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,INGLESIDE,NONE,MUNICH ST / EXCELSIOR AV,-122.425650143747,37.722435553667204
2006-06-30 22:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,NORTHERN,"ARREST, BOOKED",PINE ST / FRANKLIN ST,-122.423785184867,37.7892026281082
2006-06-30 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,NONE,24TH ST / FLORIDA ST,-122.410067981387,37.752737880572
2006-06-30 22:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,INGLESIDE,NONE,CORTLAND AV / PROSPECT AV,-122.42085671633998,37.7402205692099
2006-06-30 21:55:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,TARAVAL,NONE,2200 Block of 14TH AV,-122.470359608661,37.7460753397163
2006-06-30 21:55:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,TARAVAL,NONE,2200 Block of 14TH AV,-122.470359608661,37.7460753397163
2006-06-30 21:45:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,TENDERLOIN,"ARREST, BOOKED",300 Block of OFARRELL ST,-122.41050925879499,37.786043222299206
2006-06-30 21:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2006-06-30 21:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.42354064042,37.7374351380346
