Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2011-03-27 23:55:00,KIDNAPPING,"ATTEMPTED KIDNAPPING, ADULT VICTIM",Sunday,MISSION,NONE,3000 Block of MISSION ST,-122.418163204335,37.748588948552396
2011-03-27 23:55:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Sunday,MISSION,NONE,3000 Block of MISSION ST,-122.418163204335,37.748588948552396
2011-03-27 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,1600 Block of GREEN ST,-122.42626338171301,37.7972480254184
2011-03-27 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,GOUGH ST / GREENWICH ST,-122.427647842177,37.7999953346976
2011-03-27 23:30:00,ROBBERY,ROBBERY OF A RESIDENCE WITH A GUN,Sunday,TENDERLOIN,NONE,200 Block of TURK ST,-122.413237516676,37.78284302332129
2011-03-27 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,PARK,NONE,CENTRAL AV / TURK ST,-122.44534782845501,37.7788362914544
2011-03-27 23:30:00,ROBBERY,"ROBBERY, ARMED WITH A GUN",Sunday,TENDERLOIN,NONE,200 Block of TURK ST,-122.413237516676,37.78284302332129
2011-03-27 23:30:00,KIDNAPPING,FALSE IMPRISONMENT,Sunday,TENDERLOIN,NONE,200 Block of TURK ST,-122.413237516676,37.78284302332129
2011-03-27 23:20:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,TENDERLOIN,PSYCHOPATHIC CASE,0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2011-03-27 23:15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,2200 Block of SCOTT ST,-122.439155972411,37.79054380787571
2011-03-27 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,TARAVAL,NONE,200 Block of LAKESHORE DR,-122.49748331008699,37.7305883851549
2011-03-27 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,INGLESIDE,NONE,0 Block of VIENNA ST,-122.425025030815,37.7277502372406
2011-03-27 22:48:00,ASSAULT,BATTERY,Sunday,RICHMOND,NONE,700 Block of 11TH AV,-122.469089312677,37.77417623729
2011-03-27 22:45:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,INGLESIDE,PSYCHOPATHIC CASE,100 Block of DELTA ST,-122.407500247747,37.7175443680185
2011-03-27 22:41:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,RICHMOND,"ARREST, CITED",BAKER ST / POST ST,-122.442991842458,37.783896526919605
2011-03-27 22:34:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,RICHMOND,NONE,5600 Block of GEARY BL,-122.47993818520901,37.7804355312399
2011-03-27 22:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,BAYVIEW,NONE,8TH ST / HOOPER ST,-122.40043178907,37.7673012171933
2011-03-27 22:21:00,ASSAULT,THREATS AGAINST LIFE,Sunday,TENDERLOIN,"ARREST, BOOKED",500 Block of ELLIS ST,-122.415436031905,37.784585134714
2011-03-27 22:21:00,ASSAULT,CHILD ABUSE (PHYSICAL),Sunday,TENDERLOIN,"ARREST, BOOKED",500 Block of ELLIS ST,-122.415436031905,37.784585134714
2011-03-27 22:15:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668
2011-03-27 22:13:00,ASSAULT,THREATS AGAINST LIFE,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408368579345,37.7807784253732
2011-03-27 22:05:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Sunday,PARK,"ARREST, BOOKED",1700 Block of HAIGHT ST,-122.45131444779699,37.7695046066162
2011-03-27 22:05:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE,Sunday,PARK,"ARREST, BOOKED",1700 Block of HAIGHT ST,-122.45131444779699,37.7695046066162
2011-03-27 22:05:00,WARRANTS,WARRANT ARREST,Sunday,PARK,"ARREST, BOOKED",1700 Block of HAIGHT ST,-122.45131444779699,37.7695046066162
2011-03-27 22:00:00,LARCENY/THEFT,"THEFT, BICYCLE, <$50, NO SERIAL NUMBER",Sunday,TENDERLOIN,NONE,400 Block of EDDY ST,-122.41506687647,37.7835634796332
2011-03-27 22:00:00,ASSAULT,THREATS AGAINST LIFE,Sunday,BAYVIEW,"ARREST, BOOKED",3100 Block of SAN BRUNO AV,-122.401582784,37.7225836143727
2011-03-27 22:00:00,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Sunday,MISSION,NONE,3100 Block of 25TH ST,-122.41365037931,37.7509742606075
2011-03-27 22:00:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,BAYVIEW,"ARREST, BOOKED",3100 Block of SAN BRUNO AV,-122.401582784,37.7225836143727
2011-03-27 22:00:00,WARRANTS,WARRANT ARREST,Sunday,MISSION,"ARREST, BOOKED",2200 Block of MISSION ST,-122.419212198636,37.7610244167023
2011-03-27 22:00:00,KIDNAPPING,KIDNAPPING DURING ROBBERY,Sunday,MISSION,"ARREST, BOOKED",2200 Block of MISSION ST,-122.419212198636,37.7610244167023
2011-03-27 22:00:00,RUNAWAY,RUNAWAY,Sunday,PARK,LOCATED,1200 Block of PAGE ST,-122.44139370111401,37.771727314177106
2011-03-27 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,BAYVIEW,NONE,QUESADA AV / 3RD ST,-122.391245623019,37.7332252032804
2011-03-27 22:00:00,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Sunday,MISSION,"ARREST, BOOKED",2200 Block of MISSION ST,-122.419212198636,37.7610244167023
2011-03-27 22:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,BAYVIEW,"ARREST, BOOKED",3100 Block of SAN BRUNO AV,-122.401582784,37.7225836143727
2011-03-27 22:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,INGLESIDE,NONE,400 Block of DAY ST,-122.43258239727,37.7425920476024
2011-03-27 22:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,MISSION,NONE,3300 Block of CESAR CHAVEZ ST,-122.417059385145,37.7480778892528
2011-03-27 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,BAYVIEW,NONE,2000 Block of BANCROFT AV,-122.40126490593501,37.7303323096369
2011-03-27 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,DORLAND ST / GUERRERO ST,-122.423878534712,37.762344486562
2011-03-27 21:49:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,SOUTHERN,"ARREST, CITED",7TH ST / MARKET ST,-122.41251534135598,37.78047774805079
2011-03-27 21:35:00,ASSAULT,BATTERY,Sunday,MISSION,"ARREST, CITED",2000 Block of MARKET ST,-122.426955631709,37.769247063207004
2011-03-27 21:33:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,INGLESIDE,"ARREST, CITED",OCEAN AV / HOWTH ST,-122.449556915345,37.7229598160913
2011-03-27 21:30:00,MISSING PERSON,MISSING ADULT,Sunday,PARK,LOCATED,1400 Block of 7TH AV,-122.46404477780399,37.7613161836641
2011-03-27 21:28:00,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Sunday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.39944365894199,37.73017601616471
2011-03-27 21:28:00,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Sunday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.39944365894199,37.73017601616471
2011-03-27 21:28:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.39944365894199,37.73017601616471
2011-03-27 21:25:00,WARRANTS,WARRANT ARREST,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-03-27 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,12TH ST / HOWARD ST,-122.416902807379,37.7717234973754
2011-03-27 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,LAGUNA ST / FRANCISCO ST,-122.431500457039,37.8023742989424
