Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-06-29 23:45:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Sunday,INGLESIDE,NONE,300 Block of ROLPH ST,-122.436522433651,37.71343309408221
2003-06-29 23:15:00,ROBBERY,ROBBERY OF A RESIDENCE WITH BODILY FORCE,Sunday,MISSION,NONE,1700 Block of MISSION ST,-122.42022238525101,37.769554034555
2003-06-29 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,700 Block of MOSCOW ST,-122.43180920357901,37.715829163187706
2003-06-29 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,1100 Block of GIRARD ST,-122.400931162178,37.7183493116851
2003-06-29 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,INGLESIDE,NONE,600 Block of BOSWORTH ST,-122.434547524567,37.7337410677616
2003-06-29 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,600 Block of BOSWORTH ST,-122.434547524567,37.7337410677616
2003-06-29 23:00:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE,Sunday,MISSION,NONE,MISSION ST / 14TH ST,-122.41998344770501,37.7682726763664
2003-06-29 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,INGLESIDE,NONE,700 Block of MOSCOW ST,-122.43180920357901,37.715829163187706
2003-06-29 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Sunday,INGLESIDE,NONE,1100 Block of GIRARD ST,-122.400931162178,37.7183493116851
2003-06-29 22:54:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,PARK,"ARREST, CITED",1900 Block of FULTON ST,-122.44844788126301,37.7754949490098
2003-06-29 22:50:00,ASSAULT,BATTERY,Sunday,MISSION,NONE,26TH ST / CAPP ST,-122.41704921958099,37.749105712516
2003-06-29 22:46:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,SOUTHERN,NONE,700 Block of THE EMBARCADERO SOUTH ST,-122.40071180486,37.80238450205921
2003-06-29 22:40:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,MARIPOSA ST / 3RD ST,-122.388854011378,37.7643228810053
2003-06-29 22:30:00,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Sunday,MISSION,"ARREST, BOOKED",17TH ST / PROSPER ST,-122.431545037269,37.762702558794295
2003-06-29 22:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,TENDERLOIN,NONE,ELLIS ST / JONES ST,-122.412784096509,37.7848656939297
2003-06-29 22:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,MISSION,"ARREST, BOOKED",17TH ST / PROSPER ST,-122.431545037269,37.762702558794295
2003-06-29 22:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,CLAY ST / VAN NESS AV,-122.422695629372,37.7921733284299
2003-06-29 22:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,INGLESIDE,NONE,2300 Block of SAN JOSE AV,-122.447241159611,37.7201577971255
2003-06-29 22:29:00,ASSAULT,BATTERY,Sunday,CENTRAL,"ARREST, BOOKED",1000 Block of HYDE ST,-122.41723150829,37.79052671887821
