Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2008-12-28 23:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,CENTRAL,NONE,TAYLOR ST / JEFFERSON ST,-122.41580571058998,37.808212006459996
2008-12-28 23:38:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Sunday,PARK,NONE,400 Block of CLAYTON ST,-122.448792812509,37.77119954022249
2008-12-28 23:32:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / LEAVENWORTH ST,-122.414619686906,37.785583058846996
2008-12-28 23:32:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / LEAVENWORTH ST,-122.414619686906,37.785583058846996
2008-12-28 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,FULTON ST / 41ST AV,-122.50132819780501,37.771784502351
2008-12-28 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,CAPP ST / 16TH ST,-122.418701003284,37.76510987862221
2008-12-28 23:30:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,NORTHERN,UNFOUNDED,FILLMORE ST / OFARRELL ST,-122.43270697589199,37.7832909416362
2008-12-28 23:27:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,BAYVIEW,"ARREST, CITED",PHELPS ST / NEWCOMB AV,-122.39352632601201,37.7373529003912
2008-12-28 23:19:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,TENDERLOIN,"ARREST, CITED",ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2008-12-28 23:18:00,NON-CRIMINAL,AIDED CASE,Sunday,RICHMOND,NONE,400 Block of 31ST AV,-122.491300789427,37.7807392349426
2008-12-28 23:01:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,CENTRAL,"ARREST, CITED",500 Block of BEACH ST,-122.418111096758,37.8070199998601
2008-12-28 23:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,NORTHERN,PSYCHOPATHIC CASE,900 Block of GEARY ST,-122.418918390218,37.7859407304209
2008-12-28 23:00:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,CENTRAL,UNFOUNDED,0 Block of JEFFERSON ST,-122.41337058114,37.8085752673964
2008-12-28 22:50:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,INGLESIDE,"ARREST, CITED",GENEVA AV / LISBON ST,-122.438622865413,37.7153086972139
