Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2013-09-30 23:58:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,TARAVAL,NONE,2600 Block of 46TH AV,-122.504223156735,37.737101635092
2013-09-30 23:45:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,PSYCHOPATHIC CASE,300 Block of GEARY ST,-122.409055191364,37.7871979591062
2013-09-30 23:40:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of MASON ST,-122.409268441444,37.7837998723601
2013-09-30 23:40:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of MASON ST,-122.409268441444,37.7837998723601
2013-09-30 23:40:00,OTHER OFFENSES,PROBATION VIOLATION,Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of MASON ST,-122.409268441444,37.7837998723601
2013-09-30 23:36:00,WARRANTS,WARRANT ARREST,Monday,MISSION,"ARREST, BOOKED",3400 Block of 16TH ST,-122.43050530940799,37.764451394317796
2013-09-30 23:33:00,NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,NONE,POLK ST / SACRAMENTO ST,-122.420874632415,37.79149430519061
2013-09-30 23:30:00,ASSAULT,BATTERY,Monday,MISSION,COMPLAINANT REFUSES TO PROSECUTE,3000 Block of MISSION ST,-122.418163204335,37.748588948552396
2013-09-30 23:30:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,BAYVIEW,NONE,23RD ST / KANSAS ST,-122.40256106024599,37.75451295378621
2013-09-30 23:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE,3000 Block of 16TH ST,-122.421662616877,37.7648758178404
2013-09-30 23:25:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Monday,CENTRAL,NONE,200 Block of SUTTER ST,-122.40482801879,37.789759693834206
2013-09-30 23:23:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,CENTRAL,NONE,800 Block of MONTGOMERY ST,-122.40354422656,37.7969934198176
2013-09-30 23:22:00,VANDALISM,"MALICIOUS MISCHIEF, ADULT SUSPECT",Monday,CENTRAL,"ARREST, CITED",500 Block of BROADWAY ST,-122.406460643507,37.7979466732983
2013-09-30 23:22:00,ASSAULT,BATTERY,Monday,CENTRAL,"ARREST, CITED",500 Block of BROADWAY ST,-122.406460643507,37.7979466732983
2013-09-30 23:05:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,MISSION,NONE,2800 Block of HARRISON ST,-122.411890526714,37.75181175925661
2013-09-30 23:02:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,NORTHERN,"ARREST, BOOKED",GEARY ST / VANNESS AV,-122.421395819115,37.7856843389472
2013-09-30 23:02:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,NORTHERN,"ARREST, BOOKED",GEARY ST / VANNESS AV,-122.421395819115,37.7856843389472
2013-09-30 23:02:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,NORTHERN,"ARREST, BOOKED",GEARY ST / VANNESS AV,-122.421395819115,37.7856843389472
2013-09-30 23:00:00,NON-CRIMINAL,FOUND PROPERTY,Monday,BAYVIEW,NONE,700 Block of GOETTINGEN ST,-122.404925547663,37.723098090350796
2013-09-30 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,100 Block of RAMSELL ST,-122.466121701546,37.71360961330321
2013-09-30 22:56:00,WARRANTS,WARRANT ARREST,Monday,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.40871060666299,37.78097067220529
2013-09-30 22:55:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Monday,RICHMOND,NONE,2700 Block of BUSH ST,-122.44257502581101,37.785915390999705
2013-09-30 22:46:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,NORTHERN,"ARREST, CITED",VANNESS AV / PINE ST,-122.422139511488,37.78941076334571
2013-09-30 22:38:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,INGLESIDE,NONE,2300 Block of ALEMANY BL,-122.44390798684401,37.716436580888704
2013-09-30 22:35:00,BURGLARY,"BURGLARY OF HOTEL ROOM, ATTEMPTED FORCIBLE ENTRY",Monday,SOUTHERN,NONE,100 Block of 9TH ST,-122.41437970077601,37.7760436733983
2013-09-30 22:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,3400 Block of 19TH ST,-122.42105829264601,37.7600683778126
2013-09-30 22:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,RICHMOND,NONE,1300 Block of ANZA ST,-122.46255347371901,37.7792170397527
