Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2014-12-28 23:30:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,MISSION,NONE,4100 Block of 18TH ST,-122.435563016294,37.760801062884
2014-12-28 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,1900 Block of LOMBARD ST,-122.43357543980801,37.8000374496753
2014-12-28 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,CENTRAL,NONE,500 Block of GEARY ST,-122.41277729699,37.7868343892701
2014-12-28 23:30:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.421701514338,37.77364121596421
2014-12-28 23:30:00,ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.421701514338,37.77364121596421
2014-12-28 23:30:00,ASSAULT,THREATS AGAINST LIFE,Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.421701514338,37.77364121596421
2014-12-28 23:30:00,WARRANTS,WARRANT ARREST,Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.421701514338,37.77364121596421
2014-12-28 23:30:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.421701514338,37.77364121596421
2014-12-28 23:28:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,BAYVIEW,"ARREST, BOOKED",800 Block of JAMESTOWN AV,-122.39114994446301,37.7172230540399
2014-12-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,POST ST / JONES ST,-122.41335805114099,37.7876637195721
2014-12-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,HOWARD ST / 8TH ST,-122.411609760643,37.7762209908405
2014-12-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,BUSH ST / STOCKTON ST,-122.407152172242,37.790365579539795
2014-12-28 23:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,TENDERLOIN,NONE,JONES ST / GEARY ST,-122.413174494396,37.786719015554
2014-12-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,DRUMM ST / WASHINGTON ST,-122.39696238554701,37.7963478739442
2014-12-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,1300 Block of GREEN ST,-122.42132941470301,37.79787296863029
2014-12-28 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,400 Block of PARIS ST,-122.43494777193199,37.7215611709143
2014-12-28 22:50:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,NORTHERN,"ARREST, BOOKED",1300 Block of FILBERT ST,-122.421708735438,37.7997418190258
2014-12-28 22:50:00,OTHER OFFENSES,RESISTING ARREST,Sunday,NORTHERN,"ARREST, BOOKED",1300 Block of FILBERT ST,-122.421708735438,37.7997418190258
2014-12-28 22:40:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2014-12-28 22:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,KEARNY ST / CALIFORNIA ST,-122.404420631879,37.792640210997
2014-12-28 22:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,INGLESIDE,NONE,OCEAN AV / PERSIA AV,-122.436447441054,37.723788610894395
2014-12-28 22:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2014-12-28 22:17:00,OTHER OFFENSES,RESISTING ARREST,Sunday,NORTHERN,"ARREST, BOOKED",POLK ST / EDDY ST,-122.419183096362,37.78309982445921
2014-12-28 22:17:00,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Sunday,NORTHERN,"ARREST, BOOKED",POLK ST / EDDY ST,-122.419183096362,37.78309982445921
2014-12-28 22:15:00,NON-CRIMINAL,LOST PROPERTY,Sunday,NORTHERN,NONE,OAK ST / WEBSTER ST,-122.42917887616801,37.774182253014295
2014-12-28 22:10:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,700 Block of HARRISON ST,-122.397814506334,37.7821372491619
2014-12-28 22:00:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Sunday,INGLESIDE,NONE,500 Block of ATHENS ST,-122.430140618032,37.7192670281689
2014-12-28 22:00:00,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,SOUTHERN,NONE,900 Block of MARKET ST,-122.408595110869,37.7837069301545
2014-12-28 22:00:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Sunday,CENTRAL,NONE,800 Block of NORTHPOINT ST,-122.421191904927,37.805552179035395
